cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
136,A_dcf,3,.6,2,.13,2,.5149993596588957,.0056721220881978,.0056721220881978,.0063472702072033,.0063472702072033,.0999999997348261,.0023375160728379,.002696239345115,.0026966346136057,.0974472678807805,.563167729776394,.5332566875281807,.5388791095095671,.0747727544057868,.0045754326360417
137,A_dcf,3,.6,2,.13,4,.5149115743447825,.0056920789568887,.0056920789568887,.0063682953197413,.0063682953197413,.0999999997348261,.0023375160728379,.002696239345115,.002703101076615,.0971089008477203,.7206158503292646,.6946339587888806,.7065460441251715,.0872329818090637,.0025493615195069
138,A_dcf,3,.6,2,.13,8,.5151499422307305,.0056831069118844,.0056831069118844,.0063558749852513,.0063558749852513,.0999999997348261,.0023375160728379,.002696239345115,.0026941369618138,.0973285929481489,.8377319820264857,.8207545560568299,.8200750903446034,.0873919638398656,.0013524809598284
139,A_dcf,3,.6,2,.13,12,.515154945803758,.0056662250630349,.0056662250630349,.0063514802294183,.0063514802294183,.0999999997348261,.0023375160728379,.002696239345115,.0027114189277964,.097591983625334,.8852319624773398,.872199672703008,.8776881474801788,.1041593773279042,.0009292474156712
140,A_dcf,3,.6,2,.13,16,.515477229554636,.005667615344419,.005667615344419,.006327991731714,.006327991731714,.0999999997348261,.0023375160728379,.002696239345115,.0026955885519495,.0976805704706485,.9117257413865559,.9030120699150497,.9053147536770351,.1147939141336772,.0007183248619737
141,A_dcf,3,.6,3,.13,2,.493362245735123,.0056331710515059,.0201096602290621,.0063427938557409,.0210191122257583,.0999999997348261,.0023375160728379,.002696239345115,.0026865666994042,.0882085179724127,.5619572214593266,.531128630571911,.5594605809646941,.0620602786126774,.0046264987007754
142,A_dcf,3,.6,3,.13,4,.4925315973021797,.0056781633829988,.0201403584410539,.0063345823197971,.021047119331417,.0999999997348261,.0023375160728379,.002696239345115,.0026779927874182,.0873234250832309,.7212783213798466,.694186666257637,.7096422042277458,.0698502273328114,.0024280630388748
143,A_dcf,3,.6,3,.13,8,.4935069291725451,.0056839141274986,.0199790755829468,.006357972567453,.0210541075192618,.0999999997348261,.0023375160728379,.002696239345115,.0026841032477442,.0875885605619922,.8377693723164547,.8203177769443718,.8212500493639235,.0938009038615493,.0013161111071616
144,A_dcf,3,.6,3,.13,12,.4935094889002767,.0057144637913582,.0199962500029321,.0063624384918601,.0210211706160363,.0999999997348261,.0023375160728379,.002696239345115,.0026833217512978,.087176803025077,.8861081352658556,.8727222936453922,.8813814170775744,.0914591238728104,.0009798704411406
145,A_dcf,3,.6,3,.13,16,.4940408403571079,.0056829811351445,.0200132245652124,.0063464009686043,.0209888926226728,.0999999997348261,.0023375160728379,.002696239345115,.0026825147692612,.087768448877052,.9118340173422264,.9025107692869772,.9078007185284969,.0884664117095088,.0007337788041202
146,A_dcf,1,.15,1,3.6,2,.2274163066303653,-2.09340211346e-36,.0009309830280298,5.02416507231e-35,6.05833117214e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003867976767415,.9132332375279292,.3336525633975195,.2973215060207145,.3342338387657652,.2963222677319556,.0070227129068986
147,A_dcf,1,.15,1,3.6,4,.2274065327812021,-2.09340211346e-36,.0009385201421429,5.02416507231e-35,6.04852199225e-33,.0999999997348261,.0023375160728379,.002696239345115,.000387545271239,.9125853283565466,.5001578312358318,.4645687876927272,.5014010814589985,.452806984044297,.004462897063431
148,A_dcf,1,.15,1,3.6,8,.2276082138861136,-2.09340211346e-36,.0009456991614792,5.02416507231e-35,6.08011193256e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003874034358084,.9121177488637257,.6672621432566966,.6494201466581589,.676430555735237,.6156570409657146,.0028375547462531
149,A_dcf,1,.15,1,3.6,12,.2274043337262406,-2.09340211346e-36,.0009375286316202,5.02416507231e-35,6.03971563571e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003874265013828,.9126680721058914,.7501416838853709,.7353631834926293,.7545635650647875,.6829234542621377,.0022158149068012
