cellid,block,se_t,sp_t,ks,nL,nbar,mupi_t,Jsep,A,s2pi_ind,s2piLP_ind,eps2_soft,rho2_cf_soft,rho2_cf_hard,rho2_mc_soft,rho2_mc_hard,rho2_mcse_soft,rho2_mcse_hard,soft_gain_mc
156,B_grid,.7,.6,3.6,12,200,.1,.1390247349865694,.168967901552234,.0023375160728379,.002696239345115,.0002602629921564,.6344458999617556,.5424575838309065,.615023329191253,.5168936619308712,.0030094386094892,.0036954187591062,.0981296672603819
157,B_grid,.7,.6,3.6,12,400,.1,.1390247349865694,.168967901552234,.0023375160728379,.002696239345115,.0001300162426408,.7485379267492109,.6805215954682994,.73114523606349,.6596857281967068,.0022522412227158,.0028128581736796,.0714595078667832
158,B_grid,.7,.7,3.6,12,25,.1,.244034627567483,.377982686216261,.0023375160728379,.002696239345115,.0034143155680059,.3184666040779854,.242459771364761,.2921136023770478,.2129083089821882,.005172654626513,.0054838808405411,.0792052933948596
159,B_grid,.7,.7,3.6,12,50,.1,.244034627567483,.377982686216261,.0023375160728379,.002696239345115,.0017574431623915,.4655088567941037,.3766678984688958,.4368536484036077,.3491486182888862,.0040744256444823,.0045342913086175,.0877050301147216
160,B_grid,.7,.7,3.6,12,100,.1,.244034627567483,.377982686216261,.0023375160728379,.002696239345115,.0008742119509026,.6174917710112794,.5343334578320197,.5960556509405773,.5104123122789477,.0030403828136693,.0035687968267142,.0856433386616297
161,B_grid,.7,.7,3.6,12,200,.1,.244034627567483,.377982686216261,.0023375160728379,.002696239345115,.0004338632552193,.7375462559006398,.675251291037225,.7204543565160664,.6556030327790487,.0023285959921792,.0027834937838046,.0648513237370176
162,B_grid,.7,.7,3.6,12,400,.1,.244034627567483,.377982686216261,.0023375160728379,.002696239345115,.0002164820404658,.8158500600011576,.7763207870453763,.8039641687792449,.7622090671928817,.0016365303579758,.0019928758491549,.0417551015863632
163,B_grid,.7,.8,3.6,12,25,.1,.2224743469069254,.671194855998193,.0023375160728379,.002696239345115,.0029921600661405,.3075664937612338,.3699412242791301,.2796848475734976,.344842981075727,.005021603929209,.0045152296527831,-.0651581335022294
164,B_grid,.7,.8,3.6,12,50,.1,.2224743469069254,.671194855998193,.0023375160728379,.002696239345115,.0015461073378748,.4525379115794227,.5190772912815038,.4261361136295366,.4941282972752709,.0043264837155398,.0038523801330629,-.0679921836457342
165,B_grid,.7,.8,3.6,12,100,.1,.2224743469069254,.671194855998193,.0023375160728379,.002696239345115,.000774423905626,.6046213347539122,.6613561612196032,.579028589346098,.6392148846012016,.0033026443515334,.0028681179872994,-.0601862952551036
166,B_grid,.7,.8,3.6,12,200,.1,.2224743469069254,.671194855998193,.0023375160728379,.002696239345115,.0003823577178107,.7291135842527563,.7683582769843377,.711228657059408,.7525394628436682,.0024284461803753,.0020331161295865,-.0413108057842603
167,B_grid,.7,.8,3.6,12,400,.1,.2224743469069254,.671194855998193,.0023375160728379,.002696239345115,.0001899448340636,.8110718864940862,.8346295771253295,.7987453414789395,.8234104012855092,.0016248117002454,.0014331618998879,-.0246650598065697
168,B_grid,.7,.9,3.6,12,25,.1,.0174920252279408,.979287653575866,.0023375160728379,.002696239345115,.0002474272192353,.0334166018932044,.5161134254215527,-.0076461006519871,.4860870076777142,.006791940905909,.004122585984883,-.4937331083297012
169,B_grid,.7,.9,3.6,12,50,.1,.0174920252279408,.979287653575866,.0023375160728379,.002696239345115,.0001272364363353,.0628095424883812,.6540990247370521,.0285959879292543,.6346168914653478,.0065877662749846,.0029495247247447,-.6060209035360935
170,B_grid,.7,.9,3.6,12,100,.1,.0174920252279408,.979287653575866,.0023375160728379,.002696239345115,.0000631118403769,.1183483226545048,.7629224759693525,.0625045706097139,.7438055512710372,.006494681138401,.0021013373203797,-.6813009806613233
171,B_grid,.7,.9,3.6,12,200,.1,.0174920252279408,.979287653575866,.0023375160728379,.002696239345115,.0000313503687381,.2105738395733504,.8314372872610711,.1762617634715497,.8195773989929859,.0057743363439617,.0015011227637893,-.6433156355214362
172,B_grid,.7,.9,3.6,12,400,.1,.0174920252279408,.979287653575866,.0023375160728379,.002696239345115,.0000156473197605,.3425504162224777,.8700687353572306,.312603226113139,.8599481647578996,.0049737547425022,.0010876360037052,-.5473449386447606
173,B_grid,.7,.95,3.6,12,25,.1,.0169765474020267,.9805941215351471,.0023375160728379,.002696239345115,.0002296932544565,.033888084998269,.5699453699193466,-.0109968380379295,.5432516004632554,.006713269528771,.0035494161474168,-.5542484385011849
174,B_grid,.7,.95,3.6,12,50,.1,.0169765474020267,.9805941215351471,.0023375160728379,.002696239345115,.0001187587258335,.0633455396368723,.6961110742823811,.0144013446899084,.6769146746766653,.0065909695612726,.0027102917759669,-.6625133299867569
175,B_grid,.7,.95,3.6,12,100,.1,.0169765474020267,.9805941215351471,.0023375160728379,.002696239345115,.0000590695091629,.1190058533721536,.790233389086645,.0847256716141435,.7777118870810529,.006523853526835,.0018543835024552,-.6929862154669093
176,B_grid,.7,.95,3.6,12,200,.1,.0169765474020267,.9805941215351471,.0023375160728379,.002696239345115,.0000293930294623,.2113269663464189,.847185394267934,.1691969687784032,.8382611920436202,.0059475792034578,.0013647299618724,-.6690642232652169
177,B_grid,.7,.95,3.6,12,400,.1,.0169765474020267,.9805941215351471,.0023375160728379,.002696239345115,.0000145912703592,.3447034622528616,.8787741007163479,.3126432405729231,.8708937915660482,.0050439865031781,.0009918504161685,-.558250550993125
178,B_grid,.8,.6,3.6,12,25,.1,.0708656939885391,.0355517676219155,.0023375160728379,.002696239345115,.0005575049487677,.1978707933767,.2266894613802264,.147993026411045,.1913058171538987,.006031717018591,.0059049284958112,-.0433127907428537
179,B_grid,.8,.6,3.6,12,50,.1,.0708656939885391,.0355517676219155,.0023375160728379,.002696239345115,.0002876632530562,.3186520431032452,.3562891122789608,.2896174731069812,.3205143166831126,.0051494502833689,.0050358408164174,-.0308968435761314
180,B_grid,.8,.6,3.6,12,100,.1,.0708656939885391,.0355517676219155,.0023375160728379,.002696239345115,.0001430694199705,.4735387046717932,.5136414909343724,.4458658659635781,.4926162218373445,.0042835873161219,.0039238865115334,-.0467503558737665
181,B_grid,.8,.6,3.6,12,200,.1,.0708656939885391,.0355517676219155,.0023375160728379,.002696239345115,.0000714612534345,.6236671396212917,.6574337640610777,.5957399380672548,.6344599828317619,.0031186875027341,.0029884375838453,-.0387200447645071
182,B_grid,.8,.6,3.6,12,400,.1,.0708656939885391,.0355517676219155,.0023375160728379,.002696239345115,.0000353068014076,.7425217016631922,.7656536401685166,.728945102090601,.7507432737502611,.0021538569927622,.0020199351220529,-.02179817165966
183,B_grid,.8,.7,3.6,12,25,.1,.2224743469076578,.106330797094904,.0023375160728379,.002696239345115,.0016730708940479,.4345540832306161,.3276338466295868,.3997549723169636,.2856333204717625,.0046891429258494,.0053554154441564,.1141216518452011
184,B_grid,.8,.7,3.6,12,50,.1,.2224743469076578,.106330797094904,.0023375160728379,.002696239345115,.0008618679339515,.5824409147159,.4753366285499617,.5593070348124987,.4532037548485042,.0036233488217487,.0043024064359768,.1061032799639944
185,B_grid,.8,.7,3.6,12,100,.1,.2224743469076578,.106330797094904,.0023375160728379,.002696239345115,.0004313204261959,.7108353636209012,.6248442104998417,.6927919948243102,.6032761955126751,.0024982886148086,.003197614397735,.0895157993116351
186,B_grid,.8,.7,3.6,12,200,.1,.2224743469076578,.106330797094904,.0023375160728379,.002696239345115,.0002137641301151,.7999404757213464,.7429179649958729,.7849686867552194,.7246193453437911,.001702649810958,.0021620078091221,.0603493414114282
187,B_grid,.8,.7,3.6,12,400,.1,.2224743469076578,.106330797094904,.0023375160728379,.002696239345115,.000106140763204,.852824978506829,.8195269641116233,.8446861149194456,.8090742093016497,.0012519062799158,.00156665350882,.0356119056177958
188,B_grid,.8,.8,3.6,12,25,.1,.3867026198309205,.3066486900873115,.0023375160728379,.002696239345115,.0035672564227183,.5137259697095956,.4466905012361224,.4869347411638859,.4187493113237087,.0038905601013075,.0043379591804316,.0681854298401771
189,B_grid,.8,.8,3.6,12,50,.1,.3867026198309205,.3066486900873115,.0023375160728379,.002696239345115,.0018379662559228,.6517643738706321,.5935393408187307,.6276714132174488,.5653195775982457,.0031908871984571,.0036472057738114,.0623518356192031
190,B_grid,.8,.8,3.6,12,100,.1,.3867026198309205,.3066486900873115,.0023375160728379,.002696239345115,.000913879192133,.7610392972436598,.7200303378238999,.7481297766716222,.7051229606761967,.0020848859546438,.0023918263769026,.0430068159954254
191,B_grid,.8,.8,3.6,12,200,.1,.3867026198309205,.3066486900873115,.0023375160728379,.002696239345115,.0004570725583602,.8298142486340443,.8048168297701873,.8200284179734653,.7944922413750503,.001455951245842,.0016833586726399,.025536176598415
192,B_grid,.8,.8,3.6,12,400,.1,.3867026198309205,.3066486900873115,.0023375160728379,.002696239345115,.0002266964772214,.8694390727182119,.8556288267084533,.8585446184149602,.8435053217118502,.0011202287921077,.0012428729801735,.01503929670311
193,B_grid,.8,.9,3.6,12,25,.1,.2554500479803319,.7050839535062662,.0023375160728379,.002696239345115,.0028551839103221,.3765082578783454,.5854211743905816,.3504446944053287,.5585041254229793,.0046851120835145,.0034377259320633,-.2080594310176506
194,B_grid,.8,.9,3.6,12,50,.1,.2554500479803319,.7050839535062662,.0023375160728379,.002696239345115,.0014707014513148,.5264252435320129,.7085223551634582,.4942119298434162,.6886269467327207,.004042908436644,.0024796295202325,-.1944150168893045
195,B_grid,.8,.9,3.6,12,100,.1,.2554500479803319,.7050839535062662,.0023375160728379,.002696239345115,.000734488775418,.6678275525134838,.7977215535360873,.645169060851879,.7831137638457998,.0029454125055233,.0018231871217158,-.1379447029939208
196,B_grid,.8,.9,3.6,12,200,.1,.2554500479803319,.7050839535062662,.0023375160728379,.002696239345115,.0003632227747593,.7724631488087174,.8518003605491772,.7573893449868954,.8416914647934527,.0020078627550947,.0012669350206168,-.0843021198065573
197,B_grid,.8,.9,3.6,12,400,.1,.2554500479803319,.7050839535062662,.0023375160728379,.002696239345115,.0001807035638798,.8369285848792541,.8811672204745689,.826074730674017,.8730983792910186,.0013860470254273,.0009753187100466,-.0470236486170016
198,B_grid,.8,.95,3.6,12,25,.1,.0247158201553102,.9732767975258719,.0023375160728379,.002696239345115,.0003148747131549,.0513553710766311,.6505022601161543,.0071561085085574,.6268387620818984,.0068379861235884,.002978257981442,-.619682653573341
